business_age_years,daily_upi_sales,utility_bill_score,supplier_repay_score,loan_to_revenue_ratio,biz_type_encoded,city_tier,purpose_encoded,monthly_upi,has_digital_payment,tenure_score,repaid_on_time
2.1,5355,4,2,2.583,7,2,0,139230,1,0.14,1
0.6,6098,3,1,2.312,8,2,2,158548,0,0.04,1
12.0,5549,4,2,2.757,11,2,0,144274,0,0.8,1
5.1,4061,3,3,1.781,9,1,2,105586,1,0.34,1
2.2,4630,4,2,0.698,1,2,3,120380,1,0.147,1
4.0,7399,4,3,2.253,2,1,1,192374,1,0.267,0
6.8,4790,4,2,1.002,2,2,0,124540,1,0.453,1
0.6,6391,4,4,0.892,1,1,4,166166,1,0.04,1
5.8,10263,3,4,1.624,9,2,1,266838,1,0.387,1
8.1,5547,3,1,1.43,7,3,4,144222,0,0.54,0
0.9,4923,1,4,1.625,10,3,0,127998,0,0.06,0
3.6,2599,3,3,2.899,7,3,4,67574,1,0.24,0
16.8,5449,4,4,2.447,9,1,3,141674,1,1.0,1
2.5,9443,4,2,0.879,4,1,2,245518,1,0.167,1
3.3,1303,3,3,1.33,4,2,4,33878,0,0.22,0
7.0,15920,4,4,1.047,3,1,2,413920,1,0.467,0
1.9,1509,3,1,2.518,1,2,1,39234,1,0.127,1
1.1,11220,4,3,1.485,11,1,4,291720,1,0.073,1
1.2,9565,3,3,1.418,0,1,2,248690,1,0.08,1
1.3,3426,2,4,3.25,4,1,2,89076,1,0.087,1
8.8,4144,4,4,0.684,10,2,3,107744,1,0.587,1
4.8,6486,3,2,2.57,10,2,5,168636,0,0.32,1
0.8,3482,3,3,2.92,4,2,2,90532,1,0.053,0
0.6,9338,3,4,1.785,3,3,0,242788,1,0.04,1
5.4,4306,4,1,3.259,5,2,1,111956,1,0.36,0
2.2,3699,2,4,2.694,0,2,4,96174,0,0.147,0
0.5,4073,3,4,2.783,0,2,1,105898,1,0.033,0
16.0,2770,4,3,2.058,1,1,4,72020,1,1.0,0
5.4,7375,3,4,2.26,1,2,3,191750,1,0.36,1
20.0,3542,4,2,0.367,3,3,5,92092,1,1.0,1
1.2,4109,4,3,3.456,7,2,2,106834,1,0.08,1
4.2,3614,4,2,1.762,9,2,4,93964,1,0.28,1
3.4,4716,4,4,3.258,9,2,5,122616,1,0.227,1
8.3,10192,4,2,1.305,0,2,0,264992,1,0.553,1
2.2,9982,3,4,1.67,8,1,1,259532,0,0.147,1
12.1,3986,4,4,2.425,8,1,3,103636,1,0.807,0
1.5,2277,3,4,2.518,5,2,1,59202,0,0.1,1
0.6,5418,4,2,0.886,1,2,4,140868,0,0.04,0
2.4,12656,3,4,0.719,9,1,1,329056,1,0.16,0
7.1,6429,4,2,1.612,3,2,4,167154,0,0.473,0
6.4,5230,2,2,3.187,3,1,3,135980,1,0.427,1
7.9,4070,4,4,3.448,1,2,0,105820,1,0.527,0
13.2,7251,4,4,1.03,9,2,5,188526,0,0.88,1
8.0,7423,2,4,0.341,3,1,0,192998,0,0.533,1
0.6,4437,1,3,0.526,4,2,2,115362,1,0.04,1
13.9,13826,1,3,1.205,1,1,2,359476,0,0.927,1
14.4,2544,3,4,0.55,9,2,2,66144,0,0.96,1
3.9,6134,4,4,2.32,4,2,4,159484,0,0.26,1
4.3,6515,2,4,2.251,8,1,3,169390,1,0.287,0
8.6,2800,4,4,0.607,4,1,5,72800,1,0.573,1
2.5,13046,3,3,1.278,9,1,0,339196,1,0.167,0
4.3,15901,4,3,1.048,5,1,2,413426,1,0.287,1
2.8,3240,4,3,2.037,6,1,2,84240,1,0.187,1
7.9,56017,3,4,0.298,1,2,2,1456442,1,0.527,1
6.8,6923,4,3,0.679,8,2,5,179998,0,0.453,1
3.5,6071,3,1,1.795,11,2,3,157846,0,0.233,1
9.1,3473,2,2,2.879,7,2,4,90298,0,0.607,0
8.8,8839,4,4,1.886,2,1,4,229814,1,0.587,1
5.1,5842,4,3,2.128,11,3,2,151892,1,0.34,1
1.5,4697,1,3,1.256,10,2,2,122122,0,0.1,0
11.4,4336,1,4,1.13,2,3,4,112736,1,0.76,1
10.1,2373,2,1,0.323,1,2,0,61698,1,0.673,0
0.8,6524,4,3,2.555,11,1,5,169624,1,0.053,1
15.5,8168,4,4,2.04,11,1,0,212368,1,1.0,1
4.4,1710,3,3,2.651,5,1,0,44460,1,0.293,1
14.3,27414,4,3,0.608,6,1,1,712764,1,0.953,1
10.0,11740,2,3,1.073,4,1,4,305240,1,0.667,1
5.6,4282,2,3,1.059,2,2,3,111332,1,0.373,1
0.5,1833,4,3,2.928,10,3,0,47658,1,0.033,1
28.1,7201,4,4,2.314,9,2,1,187226,1,1.0,1
3.9,5222,4,4,1.902,0,3,1,135772,1,0.26,1
7.7,3039,1,2,2.929,0,2,0,79014,1,0.513,0
16.6,4731,3,4,3.185,6,2,0,123006,1,1.0,1
3.7,8445,4,4,1.974,0,1,5,219570,0,0.247,0
1.3,13046,3,3,1.278,7,1,3,339196,0,0.087,1
8.8,5849,4,4,0.49,9,2,0,152074,0,0.587,1
9.2,3580,4,4,1.127,3,2,2,93080,1,0.613,1
16.4,7068,4,4,0.797,8,1,3,183768,0,1.0,1
6.2,7821,3,3,2.131,11,2,4,203346,1,0.413,1
5.7,2771,4,4,1.804,1,3,5,72046,1,0.38,1
10.6,8211,2,2,0.617,1,2,2,213486,0,0.707,1
24.9,3480,1,3,2.232,4,2,4,90480,0,1.0,0
0.6,4514,2,1,1.433,6,1,5,117364,0,0.04,0
1.5,3759,4,4,1.915,2,2,4,97734,1,0.1,1
0.7,7656,2,2,0.832,0,1,3,199056,0,0.047,1
5.4,6384,3,1,2.611,4,1,1,165984,0,0.36,0
13.3,6022,3,4,2.009,0,2,1,156572,1,0.887,1
4.5,3891,1,2,3.324,11,3,3,101166,0,0.3,0
4.8,4515,3,4,1.44,1,1,4,117390,1,0.32,1
12.9,7853,3,2,2.105,2,1,1,204178,1,0.86,1
5.3,5793,1,4,2.071,3,1,4,150618,0,0.353,1
4.4,4015,3,1,0.83,5,2,0,104390,0,0.293,1
2.6,10270,1,4,0.542,0,2,0,267020,0,0.173,1
16.2,20558,4,3,0.811,4,1,0,534508,1,1.0,1
8.9,2539,1,4,2.796,0,2,5,66014,1,0.593,1
0.7,13105,3,3,1.272,2,2,2,340730,0,0.047,1
1.2,5590,4,3,0.739,9,1,4,145340,1,0.08,1
7.3,6556,3,3,0.651,3,2,3,170456,1,0.487,1
2.9,3591,4,1,0.446,0,1,4,93366,1,0.193,1
1.2,5573,4,4,1.172,0,1,3,144898,0,0.08,1
5.1,13334,4,2,0.442,0,1,1,346684,0,0.34,1
2.4,10444,2,4,0.571,1,1,0,271544,1,0.16,0
13.5,3387,2,3,2.687,7,1,3,88062,0,0.9,1
1.2,2421,2,3,3.291,4,1,1,62946,0,0.08,0
2.8,6824,3,4,1.397,6,1,0,177424,1,0.187,1
3.5,4144,4,4,2.429,8,3,2,107744,1,0.233,0
5.1,10302,4,4,0.502,1,1,5,267852,1,0.34,1
0.8,2790,3,3,2.067,8,2,3,72540,1,0.053,0
5.1,4714,4,3,1.945,6,2,5,122564,1,0.34,0
3.5,7745,4,2,2.152,7,2,3,201370,1,0.233,1
3.0,11753,3,3,0.967,4,2,5,305578,1,0.2,0
0.6,11729,2,3,1.421,3,2,2,304954,1,0.04,0
2.9,8155,1,2,2.044,9,2,5,212030,0,0.193,1
2.6,2335,4,3,0.514,8,2,0,60710,0,0.173,0
7.2,13844,1,3,1.204,0,2,2,359944,1,0.48,1
2.7,5989,3,2,2.304,6,1,4,155714,0,0.18,0
1.2,3019,4,3,1.579,3,2,4,78494,1,0.08,1
0.7,2328,2,4,2.778,6,2,0,60528,0,0.047,0
1.8,9965,4,3,1.673,5,2,0,259090,1,0.12,0
11.5,5281,3,3,1.016,6,2,4,137306,0,0.767,1
17.6,8785,3,3,1.897,11,1,1,228410,0,1.0,1
7.7,5256,4,3,3.044,8,1,0,136656,1,0.513,1
6.3,22913,3,3,0.727,8,2,3,595738,0,0.42,1
11.7,7565,3,2,0.445,5,1,0,196690,1,0.78,1
3.9,2449,4,4,3.103,4,2,5,63674,1,0.26,1
12.2,3677,4,4,2.312,7,3,4,95602,1,0.813,1
33.5,2982,3,3,2.157,3,2,0,77532,0,1.0,1
11.1,9417,4,3,0.616,7,1,1,244842,1,0.74,1
10.2,2706,4,3,2.106,5,2,2,70356,1,0.68,1
8.6,5517,3,3,0.514,3,3,1,143442,0,0.573,1
11.6,4891,4,3,3.053,11,2,3,127166,1,0.773,1
3.4,13049,1,4,0.948,2,2,0,339274,0,0.227,1
8.0,6812,2,3,1.116,3,2,5,177112,0,0.533,1
7.4,8185,3,3,2.036,10,1,5,212810,1,0.493,1
7.2,3670,4,3,1.371,1,1,1,95420,0,0.48,1
6.2,4691,4,3,0.824,6,3,2,121966,0,0.413,1
0.8,1990,4,4,1.826,4,3,3,51740,1,0.053,1
3.1,11626,4,3,0.9,4,1,4,302276,1,0.207,0
23.7,4173,3,3,3.099,6,2,4,108498,1,1.0,0
4.7,5973,4,3,1.127,9,1,3,155298,1,0.313,1
1.1,12832,2,3,1.299,0,1,2,333632,1,0.073,1
6.1,5931,3,3,2.81,4,3,4,154206,0,0.407,1
26.4,3451,4,4,1.951,5,2,4,89726,0,1.0,1
1.9,8364,4,4,1.993,6,1,1,217464,0,0.127,1
17.7,4064,2,4,0.427,1,2,1,105664,1,1.0,0
8.5,2183,4,4,0.275,11,2,1,56758,1,0.567,1
3.4,5543,4,2,1.185,1,1,3,144118,1,0.227,1
6.3,13528,2,2,1.232,7,2,4,351728,0,0.42,1
2.0,13261,4,1,0.606,0,1,2,344786,0,0.133,1
15.7,7729,4,4,2.156,10,2,0,200954,1,1.0,1
3.6,10239,2,4,0.42,6,2,0,266214,1,0.24,1
12.6,3122,3,2,1.014,4,2,5,81172,0,0.84,1
0.8,4934,2,4,1.527,1,1,2,128284,1,0.053,1
0.9,3740,3,4,1.453,3,2,5,97240,1,0.06,1
7.8,11334,4,4,1.471,5,1,0,294684,0,0.52,1
26.4,6174,4,1,2.548,8,1,5,160524,1,1.0,0
4.5,9779,3,4,1.704,5,2,4,254254,0,0.3,1
3.3,4596,3,3,2.183,2,1,2,119496,1,0.22,0
3.1,5249,4,4,2.934,8,3,2,136474,1,0.207,1
25.2,3638,4,4,2.272,3,2,4,94588,1,1.0,1
11.4,7883,3,4,1.349,0,2,5,204958,1,0.76,1
6.2,6531,2,1,1.531,3,2,1,169806,1,0.413,1
4.9,5202,4,3,1.064,0,3,5,135252,1,0.327,1
3.6,3198,2,1,0.771,3,2,2,83148,1,0.24,1
8.2,10043,4,3,1.66,9,1,2,261118,0,0.547,1
0.9,15401,2,3,1.082,3,2,0,400426,1,0.06,1
1.5,9822,3,4,1.697,5,1,5,255372,0,0.1,1
4.1,14547,1,3,1.146,6,2,3,378222,0,0.273,0
7.5,3869,4,3,1.241,6,2,2,100594,0,0.5,1
1.2,14548,3,4,1.146,9,2,4,378248,1,0.08,1
1.6,9486,3,4,1.757,6,2,0,246636,0,0.107,1
0.9,3686,3,3,3.355,2,1,3,95836,1,0.06,1
2.8,1466,3,3,2.547,0,2,5,38116,0,0.187,1
8.0,2795,2,3,0.799,1,3,2,72670,0,0.533,0
3.2,2308,4,3,1.56,1,3,2,60008,1,0.213,1
6.1,7476,4,3,0.308,5,1,5,194376,1,0.407,1
3.2,1886,1,4,0.513,7,3,0,49036,1,0.213,1
17.8,8764,4,4,1.08,10,1,3,227864,1,1.0,1
11.5,4331,2,2,3.425,4,3,3,112606,0,0.767,1
3.2,2617,3,3,1.325,6,2,4,68042,1,0.213,1
2.3,4916,3,3,1.858,6,1,5,127816,0,0.153,1
1.4,4505,3,2,2.309,5,3,0,117130,1,0.093,1
1.5,7525,3,2,2.215,1,2,2,195650,1,0.1,1
14.2,5712,4,3,2.328,10,2,0,148512,0,0.947,0
1.6,13229,4,2,1.26,6,1,1,343954,1,0.107,0
9.1,5863,4,2,1.507,0,1,5,152438,1,0.607,1
8.3,4356,1,3,2.127,0,2,0,113256,0,0.553,0
1.0,13089,4,2,1.273,9,1,0,340314,1,0.067,1
6.5,4695,4,4,2.18,7,1,4,122070,1,0.433,1
3.4,7853,4,3,1.193,10,1,1,204178,1,0.227,0
7.3,11195,4,4,1.0,5,1,2,291070,1,0.487,1
8.6,5506,2,3,0.587,6,2,0,143156,0,0.573,1
14.7,4320,3,2,1.929,8,1,0,112320,1,0.98,0
7.5,9597,2,3,0.966,11,1,2,249522,0,0.5,0
7.5,7323,1,4,2.194,11,2,4,190398,0,0.5,0
12.7,4802,2,4,0.916,2,2,4,124852,0,0.847,1
3.2,6560,4,4,1.204,2,2,2,170560,0,0.213,1
22.5,2582,4,3,2.117,0,1,1,67132,1,1.0,0
5.0,4831,4,2,0.566,6,1,2,125606,1,0.333,1
2.5,4149,4,4,1.044,7,1,4,107874,1,0.167,1
4.6,4683,1,3,0.498,8,2,2,121758,0,0.307,1
3.8,3189,3,2,3.303,2,2,2,82914,1,0.253,1
4.5,13864,3,4,1.202,5,1,5,360464,1,0.3,1
15.1,4117,2,4,0.858,8,2,4,107042,1,1.0,1
12.0,4597,1,3,2.806,3,1,2,119522,0,0.8,0
2.0,2899,3,4,1.219,11,3,4,75374,0,0.133,1
3.9,6201,4,3,0.258,3,2,1,161226,1,0.26,1
9.8,7571,3,4,2.201,11,1,0,196846,1,0.653,0
2.8,4456,4,4,2.82,0,1,5,115856,1,0.187,1
1.1,2734,3,3,1.305,10,1,4,71084,1,0.073,0
6.3,7910,4,2,2.107,3,1,5,205660,0,0.42,1
15.0,11093,2,3,0.733,1,2,3,288418,0,1.0,1
7.7,3974,2,2,2.743,2,1,0,103324,0,0.513,1
11.6,16674,4,4,1.0,9,2,1,433524,1,0.773,1
1.0,5141,4,4,0.512,1,1,2,133666,1,0.067,1
4.8,6144,4,4,2.713,6,1,1,159744,1,0.32,0
28.0,8357,4,4,1.017,8,1,5,217282,1,1.0,1
8.0,6676,2,3,2.192,8,2,5,173576,1,0.533,1
3.7,18861,3,3,0.884,11,1,2,490386,1,0.247,1
7.4,4997,4,3,1.708,4,2,3,129922,1,0.493,1
4.0,11950,4,2,1.395,1,1,4,310700,1,0.267,0
3.3,6687,2,3,1.575,0,1,0,173862,1,0.22,1
5.9,3335,4,3,1.459,5,3,4,86710,1,0.393,1
15.3,4073,3,2,2.586,3,1,5,105898,1,1.0,1
17.2,8517,4,4,1.957,3,2,3,221442,1,1.0,1
8.4,8384,4,4,1.988,5,1,3,217984,1,0.56,1
5.9,6705,4,2,1.447,4,1,4,174330,1,0.393,1
0.6,4572,4,3,1.123,4,1,2,118872,1,0.04,1
1.7,2983,4,2,1.017,5,3,3,77558,1,0.113,1
2.2,4231,4,3,1.292,4,1,3,110006,0,0.147,1
10.4,12687,4,3,1.314,8,1,2,329862,0,0.693,0
7.8,6003,4,4,1.022,4,1,2,156078,0,0.52,1
2.4,3205,4,3,1.175,11,2,0,83330,1,0.16,0
2.2,12404,3,3,1.344,9,1,5,322504,1,0.147,0
0.7,8146,3,4,0.393,6,1,0,211796,1,0.047,1
0.8,1463,4,4,2.871,4,2,0,38038,1,0.053,1
4.3,32396,2,2,0.514,8,1,5,842296,1,0.287,1
13.5,2993,4,4,1.893,6,1,2,77818,0,0.9,0
19.7,10826,3,4,1.54,11,1,2,281476,1,1.0,1
4.8,7283,4,4,2.16,7,1,5,189358,0,0.32,0
4.8,6981,4,3,2.387,5,2,3,181506,0,0.32,0
1.7,4649,4,4,2.846,4,1,2,120874,1,0.113,1
4.5,3657,3,4,2.151,5,3,4,95082,1,0.3,1
8.4,8794,4,2,1.069,9,1,3,228644,1,0.56,1
0.8,12409,2,2,0.244,4,2,3,322634,1,0.053,1
1.1,6798,1,3,2.452,2,2,1,176748,0,0.073,1
6.5,3446,1,4,1.654,5,2,0,89596,0,0.433,0
0.8,3648,3,3,2.495,6,3,0,94848,0,0.053,0
4.0,7133,2,3,0.332,10,2,0,185458,0,0.267,1
3.5,5122,4,2,2.369,4,1,5,133172,1,0.233,1
5.4,1753,4,2,1.369,8,3,4,45578,0,0.36,1
3.9,4706,4,4,1.771,8,1,1,122356,1,0.26,1
18.1,5329,4,2,2.79,8,1,1,138554,0,1.0,0
6.8,6065,4,3,2.363,11,1,4,157690,0,0.453,1
0.5,9004,4,2,1.851,10,1,2,234104,1,0.033,1
8.4,11841,3,4,1.408,2,1,5,307866,0,0.56,1
5.4,3277,1,4,1.872,6,2,5,85202,0,0.36,1
3.8,3281,1,4,1.981,10,1,1,85306,0,0.253,1
7.2,23385,4,4,0.713,4,1,4,608010,1,0.48,1
13.0,6364,4,4,2.619,8,2,2,165464,1,0.867,1
2.5,6793,1,4,2.454,8,1,5,176618,0,0.167,1
3.1,21132,4,4,0.789,8,2,3,549432,1,0.207,1
4.9,6124,3,4,2.722,0,2,1,159224,1,0.327,1
0.5,14921,1,4,1.117,6,1,0,387946,0,0.033,1
1.1,8587,4,3,1.168,11,2,4,223262,1,0.073,1
4.8,4062,2,3,3.217,9,2,1,105612,1,0.32,1
15.6,6156,4,3,1.922,3,1,3,160056,0,1.0,1
6.4,8985,3,4,1.094,5,1,4,233610,0,0.427,1
7.7,3406,2,1,2.545,11,3,2,88556,0,0.513,0
12.9,7851,4,4,1.677,6,2,5,204126,1,0.86,1
5.1,2948,2,2,3.279,11,2,5,76648,0,0.34,0
8.0,2767,1,4,2.542,9,3,1,71942,0,0.533,1
13.5,3478,3,1,1.409,10,2,5,90428,0,0.9,0
7.3,16236,3,1,1.027,11,2,5,422136,1,0.487,0
2.0,2661,1,2,0.852,5,2,0,69186,0,0.133,0
24.5,6078,4,2,0.263,0,1,5,158028,1,1.0,0
3.3,7229,4,4,1.286,5,1,0,187954,0,0.22,0
6.7,5048,3,4,1.994,5,1,0,131248,0,0.447,1
17.6,3994,2,4,0.684,10,2,3,103844,1,1.0,1
0.6,9394,3,2,1.774,7,1,3,244244,1,0.04,0
13.1,4685,3,3,0.811,0,2,5,121810,0,0.873,1
0.6,5410,4,3,1.972,0,2,0,140660,1,0.04,1
4.0,23750,3,3,0.691,7,2,0,617500,1,0.267,0
11.1,3475,3,3,3.07,8,2,4,90350,1,0.74,1
7.8,4273,3,3,2.559,1,2,0,111098,1,0.52,1
9.9,6526,3,4,2.513,4,1,2,169676,1,0.66,1
5.9,11009,4,4,1.514,7,1,0,286234,0,0.393,1
1.6,4783,4,4,1.77,0,2,3,124358,0,0.107,1
2.7,7004,1,4,2.07,10,2,1,182104,0,0.18,1
2.2,9351,3,4,1.782,0,1,2,243126,1,0.147,0
4.1,7244,4,1,2.301,8,2,1,188344,1,0.273,0
7.1,3833,4,4,2.113,11,2,1,99658,0,0.473,0
19.1,2487,3,1,1.702,9,1,2,64662,0,1.0,0
5.1,5374,2,3,0.794,7,2,5,139724,0,0.34,0
4.8,4252,4,4,0.51,9,2,1,110552,0,0.32,1
5.9,3594,2,4,0.315,9,1,5,93444,0,0.393,0
1.2,7224,3,3,2.307,3,2,3,187824,1,0.08,0
3.1,4139,2,4,2.666,5,2,0,107614,0,0.207,0
27.3,15150,3,3,1.1,8,1,0,393900,0,1.0,1
2.9,3394,3,4,0.422,3,2,5,88244,0,0.193,1
1.0,19056,4,4,0.875,7,2,0,495456,0,0.067,0
22.4,2865,2,2,0.617,7,1,1,74490,0,1.0,0
8.5,5504,4,4,2.919,11,3,2,143104,1,0.567,1
1.9,6499,2,4,1.452,11,2,2,168974,1,0.127,1
20.8,2595,2,1,2.158,3,3,1,67470,1,1.0,0
17.9,6125,2,4,0.773,11,2,3,159250,1,1.0,1
0.7,4261,4,4,3.082,10,1,0,110786,1,0.047,1
7.3,5985,4,4,2.128,3,2,0,155610,1,0.487,1
10.4,7812,3,2,0.435,9,1,3,203112,0,0.693,1
1.6,10348,4,4,0.57,4,2,0,269048,0,0.107,1
7.3,9215,3,4,1.78,10,1,1,239590,0,0.487,0
4.0,4282,4,2,2.483,5,2,4,111332,1,0.267,0
4.6,9644,4,3,1.728,9,2,1,250744,0,0.307,1
5.2,3995,4,3,1.761,11,2,4,103870,1,0.347,1
3.5,6139,4,4,0.945,11,1,3,159614,0,0.233,1
8.1,15868,4,3,0.227,8,1,5,412568,1,0.54,1
0.8,4534,3,1,1.095,8,2,0,117884,0,0.053,1
15.1,4323,3,4,1.766,6,2,5,112398,1,1.0,0
16.9,2863,4,3,0.931,7,2,3,74438,1,1.0,0
3.9,7117,4,3,0.234,2,1,4,185042,1,0.26,1
17.3,13284,4,3,0.336,4,1,2,345384,0,1.0,0
3.3,9014,4,3,1.753,2,2,2,234364,1,0.22,1
1.3,7579,3,4,2.195,3,1,2,197054,1,0.087,1
5.6,3582,4,3,1.312,8,3,1,93132,1,0.373,0
11.5,9085,3,3,1.835,11,2,0,236210,1,0.767,1
4.3,2569,4,4,2.024,10,3,2,66794,0,0.287,1
13.1,9672,2,4,0.669,4,1,0,251472,1,0.873,0
4.7,5306,4,3,2.984,10,2,2,137956,1,0.313,1
1.0,4567,4,4,3.46,2,1,3,118742,1,0.067,0
5.9,7281,4,2,0.833,11,2,4,189306,1,0.393,1
0.8,5987,2,4,1.024,4,1,3,155662,1,0.053,1
1.0,10226,4,2,1.63,10,2,1,265876,1,0.067,1
3.3,6207,1,4,2.621,7,2,0,161382,1,0.22,1
4.0,6832,4,4,1.688,3,1,1,177632,1,0.267,0
4.1,6071,4,4,0.824,6,1,0,157846,0,0.273,1
5.7,2892,4,3,1.083,11,2,1,75192,1,0.38,1
5.9,7699,2,4,2.134,2,1,5,200174,0,0.393,1
8.0,5672,2,2,1.117,10,1,1,147472,1,0.533,0
23.2,3432,3,2,0.767,10,2,5,89232,1,1.0,1
3.4,8807,4,4,1.892,4,2,1,228982,1,0.227,0
1.9,8251,3,2,2.02,11,3,0,214526,1,0.127,1
6.3,11486,4,3,1.451,9,2,5,298636,0,0.42,1
7.2,11099,4,3,1.502,0,2,5,288574,0,0.48,1
4.9,12371,4,2,0.676,4,1,3,321646,0,0.327,1
7.0,3346,4,4,1.584,3,2,1,86996,1,0.467,1
1.1,4147,4,3,3.247,0,1,1,107822,1,0.073,1
29.8,10187,4,4,1.636,0,2,4,264862,1,1.0,0
14.6,7818,3,4,2.132,11,1,5,203268,1,0.973,1
7.6,6691,4,4,2.491,1,1,0,173966,0,0.507,0
7.5,6463,4,4,1.011,9,1,3,168038,1,0.5,1
3.4,14044,3,3,1.187,7,2,0,365144,1,0.227,1
9.8,2560,4,4,1.471,6,3,5,66560,0,0.653,1
13.6,5767,3,2,1.064,1,2,2,149942,1,0.907,1
5.8,11819,1,4,1.41,3,2,4,307294,0,0.387,1
5.1,9373,3,3,0.615,7,2,3,243698,0,0.34,1
6.2,5195,1,3,0.385,4,1,2,135070,1,0.413,0
4.8,6809,3,4,2.448,9,1,3,177034,0,0.32,1
6.1,2113,4,3,1.057,7,2,2,54938,1,0.407,1
6.3,5689,3,4,1.816,1,2,0,147914,0,0.42,1
2.4,6403,4,2,2.603,0,1,5,166478,1,0.16,1
5.6,12712,4,4,0.38,8,1,5,330512,0,0.373,1
1.6,4409,1,2,0.945,5,2,5,114634,0,0.107,0
1.6,3938,4,2,3.166,5,1,2,102388,0,0.107,1
24.3,10738,4,1,1.552,0,1,3,279188,0,1.0,0
6.6,7834,3,1,2.127,8,1,4,203684,0,0.44,0
6.5,2560,4,4,1.901,7,3,1,66560,1,0.433,0
20.7,3559,1,4,3.465,9,2,2,92534,0,1.0,1
4.5,2071,1,4,1.996,10,3,2,53846,1,0.3,1
6.5,15271,4,2,1.091,7,1,2,397046,0,0.433,1
12.2,3577,4,2,1.957,5,3,0,93002,1,0.813,1
1.2,7430,4,4,0.574,2,2,4,193180,0,0.08,1
3.4,16780,3,3,0.993,6,2,4,436280,0,0.227,0
6.3,2741,3,4,0.572,1,2,3,71266,1,0.42,1
9.3,9088,3,4,1.834,3,2,1,236288,0,0.62,1
7.9,9350,4,4,0.463,0,1,2,243100,1,0.527,1
4.4,5733,4,4,2.564,1,2,3,149058,1,0.293,0
3.4,8331,1,3,2.001,6,1,0,216606,1,0.227,0
3.6,5853,3,2,2.848,0,2,4,152178,1,0.24,0
2.3,21845,3,4,0.308,2,2,5,567970,1,0.153,0
8.8,37272,2,4,0.447,1,1,2,969072,1,0.587,1
7.8,3092,1,3,0.291,1,2,1,80392,0,0.52,0
11.4,8475,4,4,1.967,6,2,2,220350,1,0.76,1
1.9,1399,3,3,0.619,3,2,3,36374,0,0.127,1
0.6,9146,2,4,1.822,9,2,3,237796,1,0.04,1
1.9,9629,4,4,0.305,3,2,1,250354,1,0.127,1
0.9,5114,1,4,1.988,2,2,4,132964,0,0.06,0
4.7,5998,4,4,2.779,7,1,2,155948,1,0.313,1
5.8,8108,2,2,2.056,5,1,5,210808,0,0.387,1
4.8,4039,3,4,2.047,1,2,4,105014,0,0.32,1
3.4,6774,4,4,2.46,8,2,1,176124,1,0.227,1
17.5,3575,3,2,1.371,1,2,5,92950,1,1.0,1
1.9,4118,4,4,0.413,9,2,1,107068,1,0.127,1
7.6,11589,4,3,0.777,0,2,3,301314,0,0.507,1
8.0,7456,1,2,0.358,8,2,2,193856,0,0.533,1
3.9,20210,1,4,0.825,11,2,0,525460,0,0.26,1
1.1,5396,2,3,0.309,3,2,5,140296,0,0.073,1
1.6,1891,2,3,0.881,0,2,2,49166,1,0.107,1
3.0,7117,2,3,0.735,2,2,2,185042,1,0.2,1
0.6,11985,4,3,1.391,9,3,0,311610,0,0.04,0
16.1,4853,4,2,2.033,2,2,3,126178,1,1.0,1
7.7,3457,4,1,1.466,6,2,0,89882,0,0.513,1
11.2,2664,4,3,2.94,11,2,3,69264,1,0.747,1
12.4,2863,4,3,3.283,10,2,4,74438,0,0.827,1
13.2,1407,3,4,1.303,4,3,4,36582,0,0.88,1
10.1,1759,3,2,1.251,4,2,1,45734,1,0.673,0
4.2,3056,4,2,2.803,7,2,4,79456,1,0.28,1
3.2,4257,3,4,2.099,8,3,4,110682,1,0.213,1
22.9,4636,2,4,0.942,3,1,0,120536,0,1.0,1
6.9,10001,4,2,0.547,10,2,0,260026,1,0.46,1
8.8,3559,3,3,0.45,4,1,1,92534,1,0.587,1
14.1,11590,4,4,0.365,6,2,0,301340,1,0.94,1
6.6,5999,4,4,2.778,0,1,0,155974,1,0.44,1
2.5,5124,3,4,2.96,9,1,4,133224,0,0.167,1
5.0,4153,4,4,0.875,7,2,1,107978,1,0.333,1
1.5,4908,4,2,0.795,5,1,4,127608,1,0.1,0
0.9,6231,3,1,2.675,0,1,3,162006,0,0.06,1
5.7,4118,4,4,2.995,9,2,3,107068,0,0.38,1
3.7,11494,3,3,1.392,0,2,3,298844,0,0.247,1
7.4,3519,4,4,0.332,3,3,3,91494,1,0.493,1
1.4,10924,4,3,0.479,10,1,0,284024,1,0.093,0
3.5,10732,4,4,1.553,8,2,5,279032,0,0.233,0
2.1,15142,4,3,0.991,0,1,5,393692,1,0.14,1
7.1,17577,3,4,0.948,6,1,4,457002,1,0.473,1
1.9,29520,1,2,0.565,5,1,0,767520,0,0.127,0
3.3,3567,3,1,2.019,0,1,5,92742,0,0.22,0
6.2,2160,4,3,0.617,2,1,5,56160,0,0.413,0
11.2,7767,3,4,0.888,6,2,1,201942,0,0.747,1
3.3,5734,3,3,0.814,1,1,5,149084,1,0.22,1
4.1,3263,4,3,0.398,6,2,2,84838,1,0.273,0
9.7,5081,4,3,1.942,7,2,4,132106,0,0.647,1
7.8,3099,4,2,0.721,7,2,5,80574,0,0.52,1
6.2,8728,4,4,1.91,11,1,5,226928,1,0.413,1
14.7,3468,3,2,1.259,10,1,3,90168,1,0.98,1
7.8,5895,3,2,2.267,10,1,0,153270,1,0.52,1
